"CodesAndRegsLicenseDataID","LicenseID","Description","LicenseName","Location","StreetNumber","Prefix","StreetName","Suffix","Longitude","Latitude","ExpirationDate","SubType","SubDescription","IssueDate","Zip","DISTRICT","NEIGHBORHOOD","ZONING","EndorsementType","EndorsementTypeDescription","EndorsementStatusDescription","EndorsementIssuedDate","AGENCY","GPSX","GPSY"
"252","31943","Alcoholic Beverage Annual","SILK RENTAL HALL","614 HEYWOOD AVE ","614"," ","HEYWOOD","AVE","-85.769418610599999","38.206684322999998","2019-05-31 00:00:00","AMU","Amusement","2011-04-08 12:41:00","40208","15","SOUTH LOUISVILLE","C2","MBRD","NQ4 Retail Malt Beverage Drink","ACTIVE","","Codes and Regulations","1203839","260948"
"253","31943","Alcoholic Beverage Annual","SILK RENTAL HALL","614 HEYWOOD AVE ","614"," ","HEYWOOD","AVE","-85.769418610599999","38.206684322999998","2019-05-31 00:00:00","AMU","Amusement","2011-04-08 12:41:00","40208","15","SOUTH LOUISVILLE","C2","MBRD2","NQ4 Retail Malt Beverage Drink (12 am till 2 am)","ACTIVE","","Codes and Regulations","1203839","260948"
"254","15ABC1051","Alcoholic Beverage Annual","KOSAIR SHRINE CLUB","4120 BARDSTOWN RD ","4120"," ","BARDSTOWN","RD","-85.646979284799997","38.191488788699999","2019-01-31 00:00:00","PRI","Private Club","2015-04-09 15:46:27","40218","02","","C2","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1238933","254858"
"255","3512","Alcoholic Beverage Annual","PLEASURE VALLEY LIONS CLUB","6000 LIONS ARMS DR ","6000"," ","LIONS ARMS","DR","-85.864497317499996","38.177300759300003","2019-02-28 00:00:00","PRI","Private Club","2004-02-26 10:48:00","40216","01","","C1","MBRD","NQ4 Retail Malt Beverage Drink","ACTIVE","","Codes and Regulations","1176335","250714"
"256","3415","Alcoholic Beverage Annual","OUR PLACE LIQUORS","3808 POPLAR LEVEL RD ","3808"," ","POPLAR LEVEL","RD","-85.7129347435","38.204741974000001","2019-02-28 00:00:00","LIQ","Liquor Store","2004-02-23 09:15:00","40213","10","CAMP TAYLOR","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1220056","259978"
"257","15ABC1098","Alcoholic Beverage Annual","WALGREENS #03776","1475 DIXIE HWY ","1475"," ","DIXIE","HWY","-85.789859052899999","38.228637553600002","2018-08-31 00:00:00","DRG","Drug Store","2015-07-29 18:10:09","40210","03","PARK HILL","C1","LP","Quota Retail Package","ACTIVE","2015-07-29 18:10:09","Codes and Regulations","1198100","269039"
"258","15ABC1098","Alcoholic Beverage Annual","WALGREENS #03776","1475 DIXIE HWY ","1475"," ","DIXIE","HWY","-85.789859052899999","38.228637553600002","2018-08-31 00:00:00","DRG","Drug Store","2015-07-29 18:10:09","40210","03","PARK HILL","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","2015-07-29 18:10:09","Codes and Regulations","1198100","269039"
"259","15ABC1107","Alcoholic Beverage Annual","WALGREENS #05449","3600 FERN VALLEY RD ","3600"," ","FERN VALLEY","RD","-85.695529524199998","38.156655819900003","2018-08-31 00:00:00","DRG","Drug Store","2015-07-29 17:23:41","40219","02","","C1","LP","Quota Retail Package","ACTIVE","2015-07-29 17:23:40","Codes and Regulations","1224782","242390"
"260","5048","Alcoholic Beverage Annual","KROGER L-346","3039 BRECKENRIDGE LN ","3039"," ","BRECKENRIDGE","LN","-85.626604261699995","38.217722140399999","2018-07-31 00:00:00","GRO","Grocery / Food Mart","2004-07-02 09:22:00","40220","26","","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1244931","264322"
"261","35838","Alcoholic Beverage Annual","MIRALEA","320 JOE CONWAY CIR 1101","320"," ","JOE CONWAY","CIR","-85.666138537400002","38.254327507500001","2019-05-31 00:00:00","PRI","Private Club","2012-11-07 11:48:12","40207","09","CRESCENT HILL","R5A","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1233779","277823"
"262","5049","Alcoholic Beverage Annual","KROGER L-327","2710 W BROADWAY ","2710","W","BROADWAY"," ","-85.796990617800006","38.248635914700003","2018-07-31 00:00:00","GRO","Grocery / Food Mart","2004-07-02 09:24:00","40211","06","PARKLAND","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1196174","276355"
"263","5050","Alcoholic Beverage Annual","KROGER L-224","2200 BROWNSBORO RD ","2200"," ","BROWNSBORO","RD","-85.704409817400006","38.258070098300003","2018-07-31 00:00:00","GRO","Grocery / Food Mart","2004-07-02 09:30:00","40206","09","CLIFTON","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1222812","279357"
"264","35866","Alcoholic Beverage Annual","DOLLAR GENERAL STORE #7153","1207 GILMORE LN ","1207"," ","GILMORE","LN","-85.712275496999993","38.175265230400001","2018-07-31 00:00:00","GRO","Grocery / Food Mart","2012-09-06 10:55:20","40213","21","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1220075","249242"
"265","5228","Alcoholic Beverage Annual","CVS PHARMACY #6202","2106 BROWNSBORO RD ","2106"," ","BROWNSBORO","RD","-85.7052798868","38.258383330000001","2018-07-31 09:55:00","LIQ","Liquor Store","2004-07-13 11:42:00","40206","09","CLIFTON","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1222564","279475"
"266","5462","Alcoholic Beverage Annual","SPEEDWAY #9645","7400 3RD STREET RD ","7400"," ","3RD STREET","RD","-85.775991853700006","38.145941539799999","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 10:07:00","40214","25","AUBURNDALE","C2","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1201584","238862"
"267","5466","Alcoholic Beverage Annual","SPEEDWAY #9612","1101 BARDSTOWN RD ","1101"," ","BARDSTOWN","RD","-85.720220796299998","38.2387025843","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 10:18:00","40204","08","CHEROKEE TRIANGLE","(C2)","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1218160","272377"
"268","5468","Alcoholic Beverage Annual","SPEEDWAY #9685","5510 BARDSTOWN RD ","5510"," ","BARDSTOWN","RD","-85.600908407899993","38.165737948299999","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 10:24:00","40291","22","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1252035","245284"
"269","5468","Alcoholic Beverage Annual","SPEEDWAY #9685","5510 BARDSTOWN RD ","5510"," ","BARDSTOWN","RD","-85.600908407899993","38.165737948299999","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 10:24:00","40291","22","","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1252035","245284"
"270","5469","Alcoholic Beverage Annual","SPEEDWAY #9518","4308 BISHOP LN ","4308"," ","BISHOP","LN","-85.686579249299996","38.199744162899997","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 10:27:00","40218","10","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1227600","258039"
"271","5470","Alcoholic Beverage Annual","SPEEDWAY #9514","2965 BRECKENRIDGE LN ","2965"," ","BRECKENRIDGE","LN","-85.628337182899998","38.218789236100001","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 10:29:00","40220","26","HIKES POINT","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1244439","264718"
"272","5471","Alcoholic Beverage Annual","CIRCLE K #3246","4701 S 3RD ST ","4701","S","3RD","ST","-85.765850160499994","38.181115117200001","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 10:34:00","40214","21","BEECHMONT","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1204711","251621"
"273","5471","Alcoholic Beverage Annual","CIRCLE K #3246","4701 S 3RD ST ","4701","S","3RD","ST","-85.765850160499994","38.181115117200001","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 10:34:00","40214","21","BEECHMONT","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1204711","251621"
"274","5472","Alcoholic Beverage Annual","SPEEDWAY #9373","9500 BROWNSBORO RD ","9500"," ","BROWNSBORO","RD","-85.574555779500002","38.307089754899998","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 10:34:00","40241","17","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1260351","296644"
"275","5472","Alcoholic Beverage Annual","SPEEDWAY #9373","9500 BROWNSBORO RD ","9500"," ","BROWNSBORO","RD","-85.574555779500002","38.307089754899998","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 10:34:00","40241","17","","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1260351","296644"
"276","5473","Alcoholic Beverage Annual","SPEEDWAY #8132","2300 BROWNSBORO RD ","2300"," ","BROWNSBORO","RD","-85.703220400500001","38.258159054099998","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 10:36:00","40206","09","CLIFTON","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1223154","279384"
"277","5474","Alcoholic Beverage Annual","SPEEDWAY #9662","4300 CRITTENDEN DR ","4300"," ","CRITTENDEN","DR","-85.751309211700004","38.1930466763","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 10:39:00","40209","21","HIGHLAND PARK","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1208961","255897"
"278","5476","Alcoholic Beverage Annual","SPEEDWAY #9714","4340 CANE RUN RD ","4340"," ","CANE RUN","RD","-85.839010028100006","38.198551011699998","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 10:43:00","40216","01","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1183794","258324"
"279","5506","Alcoholic Beverage Annual","CIRCLE K #3235","7800 ST ANDREWS CHURCH RD ","7800"," ","ST ANDREWS CHURCH","RD","-85.820138364399995","38.151916737400001","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 13:04:00","40214","12","","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1188927","241251"
"280","5507","Alcoholic Beverage Annual","SPEEDWAY #9511","7430 TERRY RD ","7430"," ","TERRY","RD","-85.872288612700004","38.1450811383","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 12:55:00","40258","12","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1173889","239022"
"281","5509","Alcoholic Beverage Annual","SPEEDWAY #9315","11301 WESTPORT RD ","11301"," ","WESTPORT","RD","-85.541440797999996","38.300171758499999","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 12:59:00","40241","17","","C2","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1269817","293990"
"282","5513","Alcoholic Beverage Annual","CIRCLE K #3222","8320 3RD STREET RD ","8320"," ","3RD STREET","RD","-85.803500701199994","38.121687189900001","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 13:30:00","40214","25","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1193525","230163"
"283","5525","Alcoholic Beverage Annual","CIRCLE K #3226","7951 BARDSTOWN RD ","7951"," ","BARDSTOWN","RD","-85.577332708499995","38.131921308599999","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-07-30 15:41:00","40291","22","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1258635","232872"
"284","17063","Alcoholic Beverage Annual","FIVE STAR FOOD MART #5295","2800 FERN VALLEY RD ","2800"," ","FERN VALLEY","RD","-85.713243518100001","38.156638172100003","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2006-09-27 11:21:00","40213","21","","EZ1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1219689","242464"
"285","5562","Alcoholic Beverage Annual","CIRCLE K #137","6517 PRESTON HWY ","6517"," ","PRESTON","HWY","-85.696445440000005","38.157413448100002","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-02 10:32:00","40219","02","","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1224523","242670"
"286","5565","Alcoholic Beverage Annual","THORNTON OIL #56","8400 DIXIE HWY ","8400"," ","DIXIE","HWY","-85.848786549500005","38.129910258199999","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-02 10:34:00","40258","14","","C2","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1180551","233380"
"287","5643","Alcoholic Beverage Annual","MEIJER PARTY STORE #160","4502 S HURSTBOURNE PKY ","4502","S","HURSTBOURNE","PKY","-85.607887571199996","38.187781297900003","2018-08-31 00:00:00","LIQ","Liquor Store","2004-08-03 08:59:00","40299","11","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1250147","253340"
"288","5644","Alcoholic Beverage Annual","MEIJER PARTY STORE #166","9500 PRESTON HWY ","9500"," ","PRESTON","HWY","-85.679632639199994","38.112517189499997","2018-08-31 00:00:00","LIQ","Liquor Store","2004-08-03 09:02:00","40229","24","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1229103","226247"
"289","5645","Alcoholic Beverage Annual","MEIJER STORE #166","9500 PRESTON HWY ","9500"," ","PRESTON","HWY","-85.679632639199994","38.112517189499997","2018-08-31 00:00:00","GRO","Grocery / Food Mart","2004-08-03 09:16:00","40229","24","","C1","MBP2","NQ Retail Malt Beverage Package (12 am till 2 am)","ACTIVE","","Codes and Regulations","1229103","226247"
"290","27547","Alcoholic Beverage Annual","ADDIS GRILL","109 S 4TH ST ","109","S","4TH","ST","-85.756242408700004","38.255952109399999","2018-11-30 00:00:00","BAR","Bar","2010-05-24 10:05:00","40202","04","CENTRAL BUSINESS DISTRICT","(C3)","LP","Quota Retail Package","INACTIVE","","Codes and Regulations","1207918","278825"
"291","27547","Alcoholic Beverage Annual","ADDIS GRILL","109 S 4TH ST ","109","S","4TH","ST","-85.756242408700004","38.255952109399999","2018-11-30 00:00:00","BAR","Bar","2010-05-24 10:05:00","40202","04","CENTRAL BUSINESS DISTRICT","(C3)","MBCO","NQ Retail Malt Beverage Combo (Package and Drink)","ACTIVE","","Codes and Regulations","1207918","278825"
"292","20236","Alcoholic Beverage Annual","JACK FRY'S","1007 BARDSTOWN RD ","1007"," ","BARDSTOWN","RD","-85.723744328400002","38.240229085700001","2018-10-31 00:00:00","RST","Restaurant / Cafe","2008-02-29 08:57:00","40204","08","CHEROKEE TRIANGLE","(C2)","MBRD","NQ4 Retail Malt Beverage Drink","ACTIVE","","Codes and Regulations","1217157","272949"
"293","35980","Alcoholic Beverage Annual","MERLE'S WHISKEY KITCHEN","122 W MAIN ST ","122","W","MAIN","ST","-85.752695198799998","38.255876960499997","2018-11-30 00:00:00","BAR","Bar","2012-10-24 14:57:24","40202","04","CENTRAL BUSINESS DISTRICT","(C3)","LD","Quota Retail Drink","ACTIVE","","Codes and Regulations","1208936","278781"
"294","35980","Alcoholic Beverage Annual","MERLE'S WHISKEY KITCHEN","122 W MAIN ST ","122","W","MAIN","ST","-85.752695198799998","38.255876960499997","2018-11-30 00:00:00","BAR","Bar","2012-10-24 14:57:24","40202","04","CENTRAL BUSINESS DISTRICT","(C3)","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1208936","278781"
"295","36546","Alcoholic Beverage Annual","HOT LEGS","13601 DIXIE HWY ","13601"," ","DIXIE","HWY","-85.888289474199993","38.058458877600003","2018-09-30 00:00:00","BAR","Bar","2013-01-22 12:51:47","40272","14","","C2","MBRD","NQ4 Retail Malt Beverage Drink","ACTIVE","","Codes and Regulations","1168727","207564"
"296","36637","Alcoholic Beverage Annual","SUPER USA","3320 FRANKFORT AVE ","3320"," ","FRANKFORT","AVE","-85.672330427600002","38.2539419322","2018-09-30 00:00:00","GRO","Grocery / Food Mart","2013-01-25 12:30:50","40206","09","CRESCENT HILL","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1231999","277710"
"297","14ABC1130","Alcoholic Beverage Annual","TEA STATION CHINESE BISTRO","9422 NORTON COMMONS BLVD 101","9422"," ","NORTON COMMONS","BLVD","-85.565953071799996","38.324719084599998","2019-02-28 00:00:00","RST","Restaurant / Cafe","2014-09-15 09:07:55","40059","16","","PVD","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1262911","303028"
"298","28126","Alcoholic Beverage Annual","SIMPLY THAI","323 WALLACE AVE ","323"," ","WALLACE","AVE","-85.657011540400006","38.252067734999997","2019-05-31 00:00:00","RST","Restaurant / Cafe","2011-01-05 14:43:00","40207","09","ROCKCREEK LEXINGTON ROAD","C1","RLD","NQ2 Retail Drink (Restaurant)","ACTIVE","","Codes and Regulations","1236387","276960"
"299","20236","Alcoholic Beverage Annual","JACK FRY'S","1007 BARDSTOWN RD ","1007"," ","BARDSTOWN","RD","-85.723744328400002","38.240229085700001","2018-10-31 00:00:00","RST","Restaurant / Cafe","2008-02-29 08:57:00","40204","08","CHEROKEE TRIANGLE","(C2)","LD2","Quota Retail Drink (12 AM - 2 AM)","ACTIVE","","Codes and Regulations","1217157","272949"
"300","36134","Alcoholic Beverage Annual","MAYAN CAFE","813 E MARKET ST ","813","E","MARKET","ST","-85.7373925192","38.253395134400002","2018-09-30 00:00:00","RST","Restaurant / Cafe","2012-10-11 14:46:15","40206","04","REMAINDER OF CITY","EZ1","LD","Quota Retail Drink","ACTIVE","","Codes and Regulations","1213315","277806"
"301","20920","Alcoholic Beverage Annual","WEST GROCERY AND LIQUOR STORE","1001 W BROADWAY ","1001","W","BROADWAY"," ","-85.768397582399999","38.2476050211","2018-10-31 00:00:00","GRO","Grocery / Food Mart","2008-07-14 12:03:00","40203","04","RUSSELL","C2","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1204378","275843"
"302","33592","Alcoholic Beverage Annual","HIGHLANDS TAP ROOM GRILL","1058 BARDSTOWN RD ","1058"," ","BARDSTOWN","RD","-85.721944448000002","38.238702840499997","2018-10-31 00:00:00","BAR","Bar","2012-08-03 12:07:52","40204","08","CHEROKEE TRIANGLE","(C2)","LD4","Quota Retail Drink (12 AM - 4 AM)","ACTIVE","","Codes and Regulations","1217665","272385"
"303","6416","Alcoholic Beverage Annual","COACH LAMP","751 VINE ST ","751"," ","VINE","ST","-85.734331303800005","38.241646688199999","2018-10-31 00:00:00","RST","Restaurant / Cafe","2004-10-01 13:29:00","40204","04","PARISTOWN POINTE","R6","MBRD2","NQ4 Retail Malt Beverage Drink (12 am till 2 am)","ACTIVE","","Codes and Regulations","1214125","273514"
"304","22947","Alcoholic Beverage Annual","OAK STREET FOODMART","331 E OAK ST ","331","E","OAK","ST","-85.750014992499999","38.234374367199997","2018-10-31 00:00:00","GRO","Grocery / Food Mart","2009-01-29 08:34:29","40203","06","SHELBY PARK","C3","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1209578","270939"
"305","5435","Alcoholic Beverage Annual","KNOCKOUT SPORTS SALOON","6112 PRESTON HWY ","6112"," ","PRESTON","HWY","-85.700163369999999","38.161585705699999","2019-02-28 00:00:00","BAR","Bar","2004-07-28 11:38:00","40219","21","","C2","SBL","Supplemental Bar","ACTIVE","","Codes and Regulations","1223478","244206"
"306","23004","Alcoholic Beverage Annual","BOOMBOZZ TAP HOUSE","1448 BARDSTOWN RD ","1448"," ","BARDSTOWN","RD","-85.710127986000003","38.231864466399998","2018-10-31 00:00:00","RST","Restaurant / Cafe","2009-04-24 12:28:00","40204","08","TYLER PARK","(C2)","RLD4","NQ2 Restaurant Liquor Drink (12 am till 4 am)","ACTIVE","","Codes and Regulations","1221019","269841"
"307","36193","Alcoholic Beverage Annual","TEDDY BEAR BAR & GRILL","1148 GARVIN PL ","1148"," ","GARVIN","PL","-85.762083124599997","38.235534224600002","2018-10-31 00:00:00","BAR","Bar","2012-10-29 13:50:00","40203","06","LIMERICK","TNZD","LD","Quota Retail Drink","ACTIVE","","Codes and Regulations","1206119","271418"
"308","26733","Alcoholic Beverage Annual","JAY FOOD MART","5050 BILLTOWN RD ","5050"," ","BILLTOWN","RD","-85.573590607100002","38.171617871400002","2018-10-31 00:00:00","GRO","Grocery / Food Mart","2010-01-11 15:46:07","40291","20","","C1","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1259919","247311"
"309","6426","Alcoholic Beverage Annual","FERN BOWL","5518 BARDSTOWN RD ","5518"," ","BARDSTOWN","RD","-85.600870137300006","38.164988645400001","2018-10-31 00:00:00","BAR","Bar","2004-10-04 08:39:00","40291","22","","C1","MBRD4","NQ4 Retail Malt Beverage Drink (12 am till 4 am)","ACTIVE","","Codes and Regulations","1252042","245011"
"310","6427","Alcoholic Beverage Annual","FERN CREEK LIQUORS","5623 BARDSTOWN RD ","5623"," ","BARDSTOWN","RD","-85.597336829699998","38.164472005199997","2018-10-31 00:00:00","LIQ","Liquor Store","2004-10-04 08:47:00","40291","22","","C1","LP2","Quota Retail Package (12 AM - 2 AM)","ACTIVE","","Codes and Regulations","1253055","244808"
"311","16091","Alcoholic Beverage Annual","SPEEDY MART #25","1054 BARRET AVE ","1054"," ","BARRET","AVE","-85.727385399400006","38.234857879099998","2018-10-31 00:00:00","GRO","Grocery / Food Mart","2006-05-04 14:12:46","40204","08","GERMANTOWN","C2","MBP","NQ Retail Malt Beverage Package","ACTIVE","","Codes and Regulations","1216080","271010"
"312","16795","Alcoholic Beverage Annual","T EDDY'S BAR & GRILL","1154 LOGAN ST ","1154"," ","LOGAN","ST","-85.740178659400001","38.233360572899997","2018-10-31 00:00:00","BAR","Bar","2006-11-08 15:15:21","40204","04","SHELBY PARK","C1","MBRD","NQ4 Retail Malt Beverage Drink","ACTIVE","","Codes and Regulations","1212397","270524"
"313","13ABC1077","Alcoholic Beverage Annual","CHILL BAR & PACKAGE IN THE HIGHLANDS","1117 BARDSTOWN RD ","1117"," ","BARDSTOWN","RD","-85.719988274000002","38.2382248989","2018-10-31 00:00:00","BAR","Bar","2013-10-16 15:08:34","40204","08","CHEROKEE TRIANGLE","(C2)","MBCO","NQ Retail Malt Beverage Combo (Package and Drink)","INACTIVE","","Codes and Regulations","1218224","272202"
"314","32062","Alcoholic Beverage Annual","BARRET BAR & GRILL","1012 BARRET AVE ","1012"," ","BARRET","AVE","-85.728097271400003","38.235961147099999","2018-10-31 00:00:00","BAR","Bar","2011-04-26 09:52:00","40204","04","GERMANTOWN","C2","LD2","Quota Retail Drink (12 AM - 2 AM)","ACTIVE","","Codes and Regulations","1215882","271415"
"315","14ABC1157","Alcoholic Beverage Annual","FEAST BBQ","909 E MARKET ST 100","909","E","MARKET","ST","-85.735443485600001","38.2531205859","2018-09-30 00:00:00","RST","Restaurant / Cafe","2014-11-07 16:40:55","40206","04","REMAINDER OF CITY","EZ1","RLD","NQ2 Retail Drink (Restaurant)","ACTIVE","2014-11-07 16:40:55","Codes and Regulations","1213873","277697"
"316","14ABC1157","Alcoholic Beverage Annual","FEAST BBQ","909 E MARKET ST 100","909","E","MARKET","ST","-85.735443485600001","38.2531205859","2018-09-30 00:00:00","RST","Restaurant / Cafe","2014-11-07 16:40:55","40206","04","REMAINDER OF CITY","EZ1","RLD4","NQ2 Restaurant Liquor Drink (12 am till 4 am)","INACTIVE","2014-11-07 16:40:55","Codes and Regulations","1213873","277697"
"317","14ABC1157","Alcoholic Beverage Annual","FEAST BBQ","909 E MARKET ST 100","909","E","MARKET","ST","-85.735443485600001","38.2531205859","2018-09-30 00:00:00","RST","Restaurant / Cafe","2014-11-07 16:40:55","40206","04","REMAINDER OF CITY","EZ1","CATE","Caterer","ACTIVE","2014-11-07 16:40:55","Codes and Regulations","1213873","277697"
"318","36193","Alcoholic Beverage Annual","TEDDY BEAR BAR & GRILL","1148 GARVIN PL ","1148"," ","GARVIN","PL","-85.762083124599997","38.235534224600002","2018-10-31 00:00:00","BAR","Bar","2012-10-29 13:50:00","40203","06","LIMERICK","TNZD","LD4","Quota Retail Drink (12 AM - 4 AM)","ACTIVE","","Codes and Regulations","1206119","271418"
"319","36193","Alcoholic Beverage Annual","TEDDY BEAR BAR & GRILL","1148 GARVIN PL ","1148"," ","GARVIN","PL","-85.762083124599997","38.235534224600002","2018-10-31 00:00:00","BAR","Bar","2012-10-29 13:50:00","40203","06","LIMERICK","TNZD","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1206119","271418"
"320","36194","Alcoholic Beverage Annual","TRYANGLES","209 S PRESTON ST ","209","S","PRESTON","ST","-85.745924027300006","38.253494896600003","2018-11-30 00:00:00","BAR","Bar","2012-11-27 08:27:00","40202","04","CENTRAL BUSINESS DISTRICT","(C2)","LD","Quota Retail Drink","ACTIVE","","Codes and Regulations","1210866","277882"
"321","36194","Alcoholic Beverage Annual","TRYANGLES","209 S PRESTON ST ","209","S","PRESTON","ST","-85.745924027300006","38.253494896600003","2018-11-30 00:00:00","BAR","Bar","2012-11-27 08:27:00","40202","04","CENTRAL BUSINESS DISTRICT","(C2)","LD4","Quota Retail Drink (12 AM - 4 AM)","ACTIVE","","Codes and Regulations","1210866","277882"
"322","36194","Alcoholic Beverage Annual","TRYANGLES","209 S PRESTON ST ","209","S","PRESTON","ST","-85.745924027300006","38.253494896600003","2018-11-30 00:00:00","BAR","Bar","2012-11-27 08:27:00","40202","04","CENTRAL BUSINESS DISTRICT","(C2)","SD","Sunday Drink","ACTIVE","","Codes and Regulations","1210866","277882"
"323","36194","Alcoholic Beverage Annual","TRYANGLES","209 S PRESTON ST ","209","S","PRESTON","ST","-85.745924027300006","38.253494896600003","2018-11-30 00:00:00","BAR","Bar","2012-11-27 08:27:00","40202","04","CENTRAL BUSINESS DISTRICT","(C2)","SBL","Supplemental Bar","ACTIVE","","Codes and Regulations","1210866","277882"
"324","14ABC1189","Alcoholic Beverage Annual","OVER THE 9","120 S 10TH ST ","120","S","10TH","ST","-85.7668768395","38.256830641599997","2018-11-30 00:00:00","RST","Restaurant / Cafe","2014-12-09 12:25:47","40202","04","PORTLAND","EZ1","LP2","Quota Retail Package (12 AM - 2 AM)","ACTIVE","2014-12-09 12:25:47","Codes and Regulations","1204870","279195"
"325","3500","Alcoholic Beverage Annual","GERMAN AMERICAN CLUB","1840 LINCOLN AVE ","1840"," ","LINCOLN","AVE","-85.703048745199993","38.199273877700001","2019-02-28 00:00:00","PRI","Private Club","2004-02-25 15:34:00","40213","10","POPLAR LEVEL","R5","PC","NQ3 Retail Drink (Private Club)","INACTIVE","","Codes and Regulations","1222865","257942"
"326","14ABC1189","Alcoholic Beverage Annual","OVER THE 9","120 S 10TH ST ","120","S","10TH","ST","-85.7668768395","38.256830641599997","2018-11-30 00:00:00","RST","Restaurant / Cafe","2014-12-09 12:25:47","40202","04","PORTLAND","EZ1","SD","Sunday Drink","ACTIVE","2014-12-09 12:25:47","Codes and Regulations","1204870","279195"
